Atom Nr.1

Distance label: 188 		 Original label: 237
Distance label: 189 		 Original label: 241
Distance label: 190 		 Original label: 253
Distance label: 191 		 Original label: 254
Distance label: 192 		 Original label: 255
Distance label: 193 		 Original label: 259
Distance label: 194 		 Original label: 260
Distance label: 195 		 Original label: 261
Distance label: 196 		 Original label: 265
Distance label: 197 		 Original label: 266
Distance label: 198 		 Original label: 267
Distance label: 199 		 Original label: 271
Distance label: 200 		 Original label: 272
Distance label: 201 		 Original label: 289
Distance label: 202 		 Original label: 290
Distance label: 203 		 Original label: 295

Atom Nr.2

Distance label: 1 		 Original label: 1
Distance label: 2 		 Original label: 3
Distance label: 3 		 Original label: 4
Distance label: 4 		 Original label: 5
Distance label: 5 		 Original label: 6
Distance label: 6 		 Original label: 7
Distance label: 7 		 Original label: 8
Distance label: 8 		 Original label: 9
Distance label: 9 		 Original label: 10
Distance label: 10 		 Original label: 11
Distance label: 11 		 Original label: 12
Distance label: 12 		 Original label: 13
Distance label: 13 		 Original label: 14
Distance label: 14 		 Original label: 15
Distance label: 15 		 Original label: 16
Distance label: 16 		 Original label: 17
Distance label: 17 		 Original label: 18
Distance label: 18 		 Original label: 19
Distance label: 19 		 Original label: 20
Distance label: 20 		 Original label: 21
Distance label: 21 		 Original label: 22
Distance label: 22 		 Original label: 23
Distance label: 23 		 Original label: 24
Distance label: 24 		 Original label: 25
Distance label: 25 		 Original label: 26
Distance label: 26 		 Original label: 27
Distance label: 27 		 Original label: 28
Distance label: 28 		 Original label: 29
Distance label: 29 		 Original label: 30
Distance label: 30 		 Original label: 31
Distance label: 31 		 Original label: 32
Distance label: 32 		 Original label: 33
Distance label: 33 		 Original label: 34
Distance label: 34 		 Original label: 35
Distance label: 35 		 Original label: 37
Distance label: 36 		 Original label: 38
Distance label: 37 		 Original label: 39
Distance label: 38 		 Original label: 40
Distance label: 39 		 Original label: 41
Distance label: 40 		 Original label: 42
Distance label: 41 		 Original label: 43
Distance label: 42 		 Original label: 44
Distance label: 43 		 Original label: 45
Distance label: 44 		 Original label: 46
Distance label: 45 		 Original label: 47
Distance label: 46 		 Original label: 48
